,Player,Runs,Average,SR,HS,Innings,Buff
0,A Choudhary,25,25.0,125.0,15,3,20
1,A Dananjaya,4,4.0,80.0,4,1,5
2,A Mishra,54,18.0,79.41176470588233,13,9,68
3,A Nehra,1,0.25,100.0,1,4,1
4,A Zampa,5,2.5,62.5,5,2,8
5,AB de Villiers,1383,46.1,163.66863905325442,129,36,845
6,AB Dinda,7,7.0,100.0,7,1,7
7,Abhishek Sharma,63,63.0,190.9090909090909,46,3,33
8,AD Hales,148,24.66666666666667,125.42372881355931,45,6,118
9,AD Mathews,32,16.0,118.5185185185185,31,2,27
10,AD Nath,29,5.8,70.73170731707317,12,5,41
11,AD Russell,504,28.0,176.84210526315792,88,22,285
12,AF Milne,7,3.5,58.33333333333334,5,3,12
13,AJ Finch,826,27.53333333333333,142.6597582037997,74,34,579
14,AJ Tye,85,10.625,125.0,25,11,68
15,AM Rahane,1232,31.58974358974359,121.3793103448276,74,44,1015
16,Ankit Sharma,28,28.0,155.55555555555554,25,2,18
17,Ankit Soni,7,3.5,77.7777777777778,7,3,9
18,Anureet Singh,18,18.0,112.5,15,2,16
19,AP Tare,26,5.2,68.42105263157895,18,5,38
20,AR Bawne,12,12.0,100.0,12,1,12
21,AR Patel,418,19.904761904761905,135.71428571428572,44,31,308
22,AS Rajpoot,15,3.75,60.0,8,4,25
23,AT Rayudu,1027,34.23333333333333,135.48812664907652,100,33,758
24,Avesh Khan,0,0.0,0.0,0,0,0
25,B Kumar,60,6.666666666666668,127.65957446808511,21,14,47
26,B Laughlin,1,1.0,25.0,1,2,4
27,B Stanlake,5,5.0,250.0,5,1,2
28,BA Stokes,512,23.272727272727273,134.03141361256544,103,24,382
29,Basil Thampi,31,31.0,91.17647058823529,13,7,34
30,BB McCullum,800,24.24242424242424,141.09347442680775,72,33,567
31,BB Sran,7,7.0,63.63636363636363,2,8,11
32,BCJ Cutting,212,26.5,179.66101694915255,39,13,118
33,Bipul Sharma,82,27.33333333333333,167.3469387755102,27,7,49
34,C de Grandhomme,257,19.76923076923077,146.02272727272728,40,17,176
35,C Munro,93,11.625,130.98591549295776,33,8,71
36,CA Lynn,811,36.86363636363637,144.30604982206404,93,25,562
37,CH Gayle,795,28.392857142857146,140.7079646017699,104,30,565
38,CH Morris,395,43.88888888888889,172.4890829694323,82,20,229
39,CJ Anderson,159,15.9,109.65517241379308,41,14,145
40,CJ Dala,0,0.0,0.0,0,0,0
41,CJ Jordan,3,1.5,60.0,3,2,5
42,CR Brathwaite,170,15.454545454545455,168.31683168316832,43,12,101
43,CR Woakes,63,10.5,95.45454545454544,18,11,66
44,D Wiese,5,5.0,125.0,5,1,4
45,DA Miller,318,21.2,115.63636363636364,31,20,275
46,DA Warner,1489,59.56,147.13438735177866,126,31,1012
47,DJ Bravo,240,20.0,138.72832369942196,68,23,173
48,DJ Hooda,309,14.714285714285715,121.65354330708662,34,29,254
49,DJ Willey,0,0.0,0.0,0,0,0
50,DJM Short,115,16.428571428571427,116.16161616161615,44,7,99
51,DL Chahar,64,16.0,182.85714285714286,39,5,35
52,DM Bravo,6,6.0,120.0,6,1,5
53,DR Shorey,8,8.0,88.8888888888889,8,1,9
54,DR Smith,563,25.59090909090909,149.3368700265252,74,24,377
55,DS Kulkarni,34,8.5,136.0,10,8,25
56,DT Christian,105,15.0,128.04878048780492,17,12,82
57,DW Steyn,1,1.0,50.0,1,1,2
58,E Lewis,382,29.384615384615387,138.40579710144928,65,13,276
59,EJG Morgan,188,20.88888888888889,112.5748502994012,51,10,167
60,ER Dwivedi,24,12.0,171.42857142857142,19,2,14
61,F Behardien,14,7.0,107.69230769230771,9,3,13
62,F du Plessis,376,31.33333333333333,126.17449664429529,69,13,298
63,G Gambhir,1084,36.13333333333333,122.07207207207209,90,36,888
64,GB Hogg,0,0.0,0.0,0,1,0
65,GJ Bailey,84,21.0,85.71428571428571,34,5,98
66,GJ Maxwell,658,21.225806451612907,155.55555555555554,68,36,423
67,Gurkeerat Singh,113,22.6,131.3953488372093,51,6,86
68,H Klaasen,57,19.0,121.27659574468086,32,4,47
69,Harbhajan Singh,137,17.125,100.73529411764706,45,17,136
70,HH Pandya,554,24.08695652173913,132.53588516746407,50,38,418
71,HM Amla,577,44.384615384615394,141.76904176904173,104,16,407
72,HV Patel,60,60.0,181.8181818181818,36,3,33
73,I Sharma,8,4.0,66.66666666666666,5,4,12
74,IK Pathan,13,3.25,81.25,7,4,16
75,Imran Tahir,7,7.0,63.63636363636363,5,3,11
76,Iqbal Abdulla,42,14.0,123.52941176470587,33,3,34
77,IR Jaggi,33,33.0,84.61538461538461,28,2,39
78,IS Sodhi,1,1.0,16.666666666666664,1,1,6
79,Ishan Kishan,594,22.0,137.81902552204178,62,27,431
80,J Suchith,0,0.0,0.0,0,0,0
81,J Yadav,6,3.0,60.0,5,2,10
82,JA Morkel,16,16.0,177.77777777777774,16,1,9
83,JC Archer,15,3.0,71.42857142857143,8,8,21
84,JC Buttler,1075,34.67741935483871,150.56022408963585,95,37,714
85,JD Unadkat,51,12.75,118.6046511627907,26,9,43
86,JJ Bumrah,34,11.333333333333336,100.0,16,7,34
87,JJ Roy,179,29.83333333333333,133.58208955223878,91,8,134
88,JO Holder,22,5.5,115.7894736842105,13,4,19
89,JP Duminy,227,37.833333333333336,115.81632653061224,49,12,196
90,JP Faulkner,131,18.714285714285715,112.93103448275863,32,11,116
91,JPR Scantlebury-Searles,8,8.0,133.33333333333331,6,2,6
92,JW Hastings,0,0.0,0.0,0,0,0
93,K Gowtham,126,14.0,196.875,33,13,64
94,K Khejroliya,0,0.0,0.0,0,0,0
95,K Rabada,55,18.33333333333333,85.9375,44,3,64
96,KA Pollard,725,25.892857142857146,139.4230769230769,70,36,520
97,KC Cariappa,15,5.0,83.33333333333334,12,4,18
98,KD Karthik,1194,36.18181818181818,138.51508120649652,65,44,862
99,KH Pandya,708,30.782608695652176,153.91304347826087,86,33,460
100,KJ Abbott,13,13.0,162.5,12,3,8
101,KK Ahmed,0,0.0,0.0,0,0,0
102,KK Nair,939,26.82857142857143,126.20967741935483,83,37,744
103,KL Rahul,1056,50.28571428571429,153.7117903930131,95,26,687
104,KM Asif,0,0.0,0.0,0,0,0
105,KM Jadhav,333,27.75,138.75,69,17,240
106,KP Pietersen,73,36.5,119.672131147541,37,4,61
107,KS Williamson,1115,42.884615384615394,138.16604708798016,89,30,807
108,Kuldeep Yadav,32,10.666666666666666,69.56521739130434,16,5,46
109,KV Sharma,85,14.166666666666664,119.71830985915493,26,10,71
110,KW Richardson,1,1.0,100.0,1,1,1
111,L Ngidi,0,0.0,0.0,0,0,0
112,LE Plunkett,1,1.0,33.33333333333333,1,2,3
113,LH Ferguson,1,1.0,100.0,1,1,1
114,LMP Simmons,145,18.125,120.83333333333331,66,8,120
115,M Ashwin,1,0.5,33.33333333333333,1,2,3
116,M Markande,21,10.5,87.5,7,6,24
117,M Morkel,1,0.5,100.0,1,2,1
118,M Prasidh Krishna,1,0.5,20.0,1,2,5
119,M Vijay,465,33.214285714285715,124.33155080213905,89,15,374
120,M Vohra,445,22.25,132.04747774480708,95,20,337
121,MA Agarwal,173,10.8125,118.4931506849315,30,17,146
122,MA Wood,1,1.0,33.33333333333333,1,1,3
123,Mandeep Singh,440,22.0,121.21212121212122,52,23,363
124,MC Henriques,459,25.5,127.14681440443212,55,26,361
125,MG Johnson,41,20.5,97.61904761904762,13,8,42
126,MJ Guptill,189,21.0,132.16783216783216,50,10,143
127,MJ Henry,0,0.0,0.0,0,0,0
128,MJ McClenaghan,61,6.777777777777778,127.08333333333331,20,17,48
129,MK Lomror,20,20.0,95.23809523809523,11,2,21
130,MK Pandey,928,34.37037037037037,125.91587516960651,81,37,737
131,MK Tiwary,371,28.538461538461537,132.5,60,17,280
132,MM Ali,77,19.25,167.3913043478261,65,4,46
133,MM Patel,0,0.0,0.0,0,1,1
134,MM Sharma,93,8.454545454545455,104.49438202247192,15,17,89
135,MN Samuels,29,7.25,93.54838709677419,27,4,31
136,Mohammad Nabi,20,6.666666666666668,133.33333333333331,14,3,15
137,Mohammed Shami,45,9.0,132.35294117647058,21,9,34
138,Mohammed Siraj,25,12.5,113.63636363636364,14,4,22
139,MP Stoinis,262,23.818181818181817,125.96153846153842,52,15,208
140,MR Marsh,7,7.0,63.63636363636363,7,1,11
141,MS Dhoni,1029,42.875,135.03937007874015,79,42,762
142,MS Gony,0,0.0,0.0,0,0,0
143,Mujeeb Ur Rahman,10,10.0,142.85714285714286,10,2,7
144,Mustafizur Rahman,1,1.0,33.33333333333333,1,2,3
145,N Rana,741,27.444444444444446,129.7723292469352,70,30,571
146,NB Singh,0,0.0,0.0,0,0,0
147,NLTC Perera,150,21.428571428571427,161.29032258064515,34,10,93
148,NM Coulter-Nile,23,7.666666666666668,88.46153846153845,7,5,26
149,NS Naik,23,11.5,74.19354838709677,22,2,31
150,NV Ojha,216,14.4,104.34782608695652,37,19,207
151,P Chopra,8,8.0,133.33333333333331,8,1,6
152,P Kumar,32,6.4,91.42857142857143,15,9,35
153,P Negi,204,17.0,116.57142857142857,35,18,175
154,P Sahu,19,19.0,146.15384615384613,18,2,13
155,PA Patel,725,23.387096774193548,130.86642599277977,81,32,554
156,Parvez Rasool,10,10.0,111.11111111111113,10,1,9
157,PJ Cummins,77,15.4,145.2830188679245,24,9,53
158,PJ Sangwan,2,0.6666666666666666,25.0,1,4,8
159,PP Chawla,56,7.0,84.84848484848484,12,11,66
160,PP Shaw,245,27.222222222222218,153.125,65,9,160
161,PSP Handscomb,6,6.0,50.0,6,1,12
162,PV Tambe,7,7.0,36.84210526315789,7,1,19
163,Q de Kock,646,32.3,132.10633946830262,108,21,489
164,R Ashwin,143,14.3,131.1926605504587,45,15,109
165,R Bhatia,50,25.0,135.13513513513513,21,8,37
166,R Dhawan,14,7.0,233.33333333333331,11,2,6
167,R Sathish,24,8.0,100.0,10,3,24
168,R Tewatia,69,17.25,127.77777777777777,24,7,54
169,R Vinay Kumar,19,19.0,126.66666666666666,12,3,15
170,RA Jadeja,438,24.33333333333333,120.32967032967032,36,35,364
171,RA Tripathi,617,26.82608695652174,142.16589861751154,93,26,434
172,Rashid Khan,70,10.0,175.0,34,10,40
173,RD Chahar,3,3.0,150.0,3,1,2
174,RG Sharma,1108,29.94594594594595,129.4392523364486,94,44,856
175,RK Bhui,0,0.0,0.0,0,1,5
176,RK Singh,29,7.25,93.54838709677419,16,4,31
177,RP Singh,0,0.0,0.0,0,0,0
178,RR Pant,1248,35.65714285714286,162.71186440677968,128,38,767
179,RV Uthappa,1133,25.75,143.59949302915084,87,44,789
180,S Aravind,32,8.0,80.0,9,8,40
181,S Badree,13,2.6,56.52173913043478,8,5,23
182,S Dhawan,1477,37.87179487179487,126.4554794520548,92,47,1168
183,S Gopal,52,13.0,85.24590163934425,24,5,61
184,S Kaul,3,1.0,18.75,2,5,16
185,S Kaushik,0,0.0,0.0,0,2,1
186,S Ladda,0,0.0,0.0,0,0,0
187,S Lamichhane,0,0.0,0.0,0,0,0
188,S Nadeem,9,3.0,40.90909090909091,6,6,22
189,SA Yadav,799,29.592592592592588,129.91869918699186,72,32,615
190,Sachin Baby,134,19.142857142857142,142.5531914893617,33,9,94
191,Sandeep Sharma,15,7.5,78.94736842105263,5,11,19
192,SB Jakati,1,1.0,50.0,1,1,2
193,SE Marsh,423,32.53846153846154,128.96341463414637,84,14,328
194,Shakib Al Hasan,354,22.125,116.44736842105264,66,21,304
195,Shivam Mavi,13,4.333333333333333,86.66666666666669,7,4,15
196,Shubman Gill,203,33.833333333333336,146.0431654676259,57,11,139
197,SK Raina,1286,34.756756756756765,134.65968586387436,84,44,955
198,SL Malinga,7,3.5,233.33333333333331,7,2,3
199,SM Boland,0,0.0,0.0,0,0,0
200,SN Khan,117,16.714285714285715,162.5,35,10,72
201,SN Thakur,15,5.0,187.5,15,4,8
202,SP Goswami,52,17.333333333333332,130.0,35,3,40
203,SP Jackson,38,19.0,122.58064516129032,16,3,31
204,SP Narine,588,19.6,177.6435045317221,75,34,331
205,SPD Smith,742,41.22222222222222,131.79396092362342,101,22,563
206,SR Watson,805,24.393939393939394,140.98073555166374,117,37,571
207,SS Agarwal,0,0.0,0.0,0,0,0
208,SS Iyer,779,28.85185185185185,130.70469798657714,96,32,596
209,SS Tiwary,222,27.75,120.65217391304348,57,9,184
210,STR Binny,185,13.214285714285715,120.12987012987013,22,18,154
211,SV Samson,1118,28.66666666666667,131.2206572769953,102,43,852
212,SW Billings,334,18.555555555555557,135.77235772357724,56,18,246
213,Swapnil Singh,12,4.0,60.0,10,3,20
214,T Natarajan,0,0.0,0.0,0,0,0
215,T Shamsi,0,0.0,0.0,0,0,0
216,TA Boult,5,5.0,50.0,5,2,10
217,Tejas Baroka,0,0.0,0.0,0,0,0
218,TG Southee,89,14.833333333333336,130.88235294117646,36,9,68
219,TK Curran,23,7.666666666666668,82.14285714285714,18,4,28
220,TM Head,205,29.285714285714285,138.51351351351352,75,10,148
221,TS Mills,8,2.6666666666666665,72.72727272727273,6,3,11
222,UBT Chand,0,0.0,0.0,0,1,4
223,UT Khawaja,127,21.166666666666668,127.0,30,6,100
224,UT Yadav,22,4.4,75.86206896551724,7,11,29
225,V Kohli,1811,54.87878787878788,142.2623723487824,113,40,1273
226,V Shankar,313,52.16666666666666,140.35874439461884,63,15,223
227,Vishnu Vinod,19,6.333333333333332,73.07692307692307,9,3,26
228,VR Aaron,4,4.0,40.0,4,3,10
229,Washington Sundar,74,18.5,148.0,35,11,50
230,WP Saha,626,21.58620689655172,124.95009980039922,93,33,501
231,YK Pathan,764,34.72727272727273,135.70159857904085,63,37,563
232,YS Chahal,13,4.333333333333333,43.33333333333334,4,7,30
233,Yuvraj Singh,553,23.04166666666667,128.9044289044289,70,27,429
234,Z Khan,10,3.333333333333333,38.46153846153847,4,5,26
